% Model:              buoyancy_free.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 10 2025, 17:40
% Dimension:          2
% Nodes:              4256
% Expressions:        7
% Description:        Temperature
% Length unit:        m
% x                       y                        T (K) @ Ra=1             T (K) @ Ra=10            T (K) @ Ra=100           T (K) @ Ra=1000          T (K) @ Ra=10000         T (K) @ Ra=1E5           T (K) @ Ra=1E6
0                         0.12000000000000005      0                        0                        0                        0                        0                        0                        0
0.008542433230993622      0.11526760663755842      0.008538656518031025     0.008504767630955118     0.008176326069617587     0.0060407835445904145    0.005946847397757683     0.010449722895745762     0.023173680036850747
0.040538720060796285      0                        0.04052043553695218      0.040356312883668616     0.0387604692627866       0.028006515694966098     0.02357312984679355      0.028981659272388525     0.037838070701038576
0.033969335607671514      0.013013572072134494     0.03395401261140402      0.033816474065838265     0.032479246540534114     0.023476075820699233     0.019820488972522015     0.024543614077475365     0.032730056371260564
0                         0.13000000000000006      0                        0                        0                        0                        0                        0                        0
0.00853254031281725       0.1253566723908432       0.008528791186084447     0.008495151566224627     0.008169296201821712     0.00606382862911413      0.006130682697514403     0.011173998639667245     0.024831315180347067
0.008809157029206045      0.13496869589431618      0.00880531343321096      0.008770828022331758     0.008436961828053853     0.006294064785941291     0.006538021115958426     0.012301787808514876     0.027282761460723618
0                         0.14000000000000004      0                        0                        0                        0                        0                        0                        0
0.008768652313920376      0.14486079396171955      0.008764858490163929     0.008730821673291528     0.008401498491170887     0.00630366782351536      0.006741119867719325     0.013056484639316515     0.028810703430423332
0                         0.15000000000000005      0                        0                        0                        0                        0                        0                        0
0.05021862354317602       0.014184162004066247     0.050195973320077546     0.049992663352093396     0.04801572360307866      0.034689931312729266     0.02917043752854273      0.035799035495055274     0.046767276598323304
0.059376728032910164      0                        0.059349956069094274     0.05910964520496415      0.05677254652891562      0.04099585410058108      0.03431230616214597      0.04169576919449453      0.05302349582027161
0.008650392914893685      0.1550051798798508       0.008646686960105574     0.00861344064070456      0.008291979963565975     0.006261418407188607     0.0069025751257315035    0.013710994859051502     0.030012043627159302
0                         0.16000000000000003      0                        0                        0                        0                        0                        0                        0
0                         0.17000000000000004      0                        0                        0                        0                        0                        0                        0
0.00880823346680659       0.16518151523451438      0.008804502289304047     0.008771032065151988     0.008447640537968202     0.006423831989120883     0.007305998616699239     0.01482622214834991      0.032141768535260025
0                         0.18000000000000005      0                        0                        0                        0                        0                        0                        0
0.008853312534846799      0.17509258977752265      0.008849608553083107     0.008816384753099156     0.008495618136655758     0.006508128139918619     0.007632473519718888     0.015756555356495786     0.03381576792923508
0.06914536917629295       0.01566107404724847      0.06911419572345244      0.06883437462230746      0.06611287996168229      0.04773226673108926      0.039889908923081634     0.048364978376235664     0.06179421202874689
0.07940475014765969       0                        0.07936897792906478      0.07904786946563969      0.07592409000873429      0.054781462872129226     0.045495575552919755     0.05449413756601355      0.06736633269322125
0.008934043152690613      0.18496341679980885      0.008930355770045707     0.00889728344218488      0.0085782347678786       0.006622353261081112     0.008003210616317155     0.01674725700933521      0.03558506729420113
0                         0.19000000000000003      0                        0                        0                        0                        0                        0                        0
0.08896757513303588       0.01594413147279219      0.08892750591837394      0.08856782224576566      0.08506846092030261      0.06136444707789823      0.050844836064957565     0.060713144449819935     0.07544615030789593
0.09943309537872358       0                        0.09938836862192592      0.0989868642941346       0.09507948712276977      0.06854218679961238      0.05639121272021441      0.06649529851958687      0.07997433509713184
0.009055225630387133      0.19491592494422805      0.009051545296000713     0.009018539020709425     0.008700408408591395     0.006773314629058611     0.00843930702037878      0.01785267510031038      0.037540964400832516
0                         0.20000000000000007      0                        0                        0                        0                        0                        0                        0
0.00898161059603693       0.20494009646339362      0.008978022859546797     0.008945850068285051     0.008636054162403114     0.006784393594991473     0.008716571396164484     0.01859280081359492      0.03869043255252597
0                         0.21000000000000005      0                        0                        0                        0                        0                        0                        0
0                         0.22000000000000003      0                        0                        0                        0                        0                        0                        0
0.008894383151835276      0.21512373286199177      0.008890897371093326     0.008859642057616116     0.008558997470221817     0.006788372247433579     0.008988429146491684     0.019284355821115488     0.03967798533093195
0                         0.23                     0                        0                        0                        0                        0                        0                        0
0.009094264015196219      0.22531164632398937      0.009090774132301867     0.009059485530798673     0.008758867196263944     0.007017291266868589     0.00957102824496642      0.020611283434553113     0.04193995886346494
0.10916040076660984       0.015867443447679375     0.10911132743717057      0.10867079838717768      0.10438303799090519      0.07522630611259833      0.06169174371093183      0.07245962910930527      0.08749259182274904
0.11946144060978736       0                        0.11940783344851068      0.11892658769867874      0.11424092796445558      0.08228249780572525      0.06697361773463385      0.07771410192579659      0.0911076998942269
0                         0.24000000000000005      0                        0                        0                        0                        0                        0                        0
0.009212098729581559      0.23539691744409322      0.009208643852810824     0.009177672849347939     0.008880477933152211     0.007189840541052278     0.010092147067521496     0.02177424835074437      0.04380427328344038
0                         0.2500000000000001       0                        0                        0                        0                        0                        0                        0
0.009241887759586528      0.24545293142699523      0.009238506004589508     0.009208194430410504     0.008917717668373765     0.007298012773525399     0.010528295650066676     0.022723258573470278     0.04523068378942669
0.12925119427689663       0.016047811000572735     0.1291932511289348       0.12867307009886877      0.12360736490243891      0.089000391681465        0.07215921525365633      0.08337253442059889      0.0980310846386343
0.13948978584085125       0                        0.13942740653563465      0.13886737775405705      0.13341147930593705      0.0960107728146428       0.07722515437814584      0.08817104651746172      0.10092926952839927
0                         0.27000000000000013      0                        0                        0                        0                        0                        0                        0
0                         0.2600000000000001       0                        0                        0                        0                        0                        0                        0
0.00911854530053245       0.265437827156171        0.009115389636954954     0.0090871129689636       0.008816969233874374     0.0073805563558164535    0.011213962470271163     0.0241373644830865       0.04712836058758286
0.009234026441771315      0.2554452746652975       0.009230736857209832     0.00920125561236787      0.008919150840883886     0.007380971677101905     0.010933453819933568     0.023576497323071956     0.04644797501105972
0                         0.2800000000000001       0                        0                        0                        0                        0                        0                        0
0.00905480046162791       0.27555858467419503      0.00905176442154904      0.00902456431302724      0.008765168198962931     0.007424873192128852     0.011561506467015715     0.02481739650711827      0.047980426560797144
0                         0.29000000000000004      0                        0                        0                        0                        0                        0                        0
0.009116298212348347      0.285657464811936        0.009113344345857026     0.009086885430058388     0.008835053547443345     0.0075756687355788095    0.012076325983314188     0.025832498571657776     0.049486953705689125
0.1493357088251796        0.016160106203232126     0.14926902465676653      0.1486703331434194       0.14283638913051602      0.10276240071196908      0.08228226659649994      0.0935151682205314       0.1071583991477572
0.15951813107191493       0                        0.15944712611307676      0.1588096136583464       0.15259462639650373      0.1097390498802005       0.08713816905170542      0.0978987513560305       0.10956495128565945
0                         0.30000000000000004      0                        0                        0                        0                        0                        0                        0
0.009126473672716053      0.295627722144196        0.009123623346414046     0.009098097179804284     0.008855669355036858     0.007687777078470578     0.012530985016513419     0.02669653890305179      0.050698596233391034
0                         0.3100000000000001       0                        0                        0                        0                        0                        0                        0
0.009131609520517508      0.30561121499058436      0.009128867637931014     0.009104318240218276     0.00887172303639369      0.007798244998697843     0.012980753876578056     0.02753211900950776      0.051886720222058196
0.16943811761430644       0.016170452342089157     0.1693628518422242       0.16868706395139646      0.16209702391564562      0.11654281729873071      0.09206832169009808      0.10293254782732154      0.11504441761604726
0.17954647630297882       0                        0.1794670333826566       0.1787537045285874       0.1717941709672425       0.12348256031334508      0.09671235672506688      0.10693634135391449      0.11713899963276388
0                         0.3200000000000001       0                        0                        0                        0                        0                        0                        0
0.009159106437253331      0.3156053882159105       0.009156472062174776     0.00913289129475524      0.008910075762169694     0.007932775469539284     0.013473908083890025     0.02843677579540427      0.05316876844262603
0                         0.33000000000000007      0                        0                        0                        0                        0                        0                        0
0.009159337984609987      0.3255616382216188       0.00915682204571029      0.00913430784308641      0.008922208238806491     0.008046069651115656     0.013927873777079375     0.029241954269629476     0.05431756570225323
0.18951190852528108       0.016189678862404255     0.18942828286160476      0.18867737029382536      0.18134864616889998      0.13032674324457696      0.10149969975290142      0.11165311723198147      0.12188675601918324
