% Model:              buoyancy_free.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 10 2025, 17:41
% Dimension:          2
% Nodes:              4256
% Expressions:        14
% Description:        Velocity field, x-component, Velocity field, y-component
% Length unit:        m
% x                       y                        u (m/s) @ Ra=1           v (m/s) @ Ra=1           u (m/s) @ Ra=10          v (m/s) @ Ra=10          u (m/s) @ Ra=100         v (m/s) @ Ra=100         u (m/s) @ Ra=1000        v (m/s) @ Ra=1000        u (m/s) @ Ra=10000       v (m/s) @ Ra=10000       u (m/s) @ Ra=1E5         v (m/s) @ Ra=1E5         u (m/s) @ Ra=1E6         v (m/s) @ Ra=1E6
0.009201799503460194      0.05523852160681794      5.725481127716928E-6     -2.9976241907917108E-5   5.709170101203715E-5     -2.986488662079803E-4    5.548368435372783E-4     -0.002877628461304122    0.004332485590853634     -0.021163272665965596    0.0327901195012758       -0.1789872427072714      0.2839747271600252       -1.9294063994576016      2.001402092699484        -16.99899706356319
0.008268703117756793      0.03512793965141947      2.62122671228166E-6      -8.652348787732277E-6    2.6112748284008554E-5    -8.608602719786515E-5    2.514030046640424E-4     -8.18413335808841E-4     0.001837582807267882     -0.005429632697256165    0.015780092000278908     -0.05449470416204632     0.17273996337231176      -0.7430714325030694      1.4742485111382708       -7.818501672317098
0                         0.040000000000000015     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.008981202967126638      0.04510168992781651      4.386443494187085E-6     -1.807827634797907E-5    4.3723498854778213E-5    -1.8002332331114597E-4   4.233958422472872E-4     -0.0017262302106588242   0.0032252890749902333    -0.01224862655595199     0.025672268286753844     -0.11023857663674473     0.2458184916389082       -1.307551253989921       1.8593577394953622       -12.420944277528436
0.017828538372577696      0.010523910235219147     1.803642954720322E-6     -1.2341399365328155E-6   1.789434217479052E-5     -1.2256035187009828E-5   1.652618126126602E-4     -1.1432390719312657E-4   8.347085364323387E-4     -6.399146099192529E-4    0.01244708628239384      -0.008265903708777165    0.23529103579302804      -0.14273468727687064     3.0692917746248085       -1.8092053720730856
0.0243863778880401        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.10000000000000002      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.008765178533827496      0.09547320885738747      7.657573110232108E-6     -8.802031772309377E-5    7.641569967633172E-5     -8.777246798460544E-4    7.48190722017435E-4      -0.00853286782042534     0.006140122819484967     -0.06679667797396482     0.04140289146308542      -0.499950174808614       0.28517753068278034      -4.327724852664995       2.0238129398058766       -33.351086483396095
0                         0.11000000000000001      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.008643892383075212      0.10536842764054737      7.760437054412696E-6     -1.0421284371764745E-4   7.745129801022125E-5     -0.0010393320760140427   7.592043135451659E-4     -0.010117142932122682    0.006278753271699041     -0.0799060138113969      0.041554396087993696     -0.5867573122292481      0.2785049316856643       -4.904765633282573       2.020723621538196        -37.43195634148926
0                         0.12000000000000005      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.008542433230993622      0.11526760663755842      8.026326807081614E-6     -1.2093551409509406E-4   8.011454258812903E-5     -0.0012062501747247196   7.862323000809558E-4     -0.011755368816084674    0.006554391464134619     -0.09356745245814796     0.04268535546484754      -0.6757029743300782      0.28045270597131694      -5.482048735393994       2.063583563267392        -41.56401407527914
0.040538720060796285      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.033969335607671514      0.013013572072134494     1.364588625099232E-5     -6.496552213132918E-6    1.3583989047342653E-4    -6.472259523696801E-5    0.0012981894154873096    -6.234752518267119E-4    0.008977233603909765     -0.004575874604576514    0.08500756266872889      -0.039460334899122367    1.100972293012485        -0.45148450502770565     11.963501320669286       -4.68339039760066
